"Rieckhoff, Sibylle";"Ein Fall für die Geisterjäger.";"Arena";"978-3-401-70605-4";"GEB";"7.99 EUR";"";"30.0";"266 g";" 2016;56 S.;m. Illustr.;225 mm;Mit Bücherbärfigur am Lesebändchen und Abc-Stickerbogen;ab 6 J.;";"240";"Ein Abenteuer zum Mitraten"
"Knister";"Hexe Lilli. Hilfe! Die Murze kommen!.";"Arena";"978-3-401-70855-3";"GEB";"7.99 EUR";"21";"30.0";"";" 2016;56 S.;m. Illustr.;Mit Hexe-Lilli-Figur am Lesebändchen;ab 6 J.;";"240";""
"Knister";"Hexe Lilli und das verzauberte Fußballspiel.";"Arena";"978-3-401-70935-2";"GEB";"5.00 EUR";"";"30.0";"293 g";" 2016;64 S.;m. Illustr.;212 mm;Mit Hexe-Lilli-Figur am Lesebändchen und grüner Glitzerfolie auf dem Cover;ab 6 J.;";"240";""
"Kellner, Ingrid";"Die besten Schulgeschichten für Erstleser.";"Arena";"978-3-401-70893-5";"GEB";"5.00 EUR";"";"30.0";"586 g";" 2015;152 S.;m. zahlr. farb. Illustr.;245 mm;ab 5 J.;";"240";"Von magischen Klassenzimmern und tollen Schultagen. Sammelband: Ein toller Schultag; Abenteuer mit Igel, Maus und Fuchs; Marie in der Zauberschule"
"Dietl, Erhard";"Die tollsten Fußballgeschichten für Erstleser.";"Arena";"978-3-401-70892-8";"GEB";"5.00 EUR";"";"30.0";"512 g";" 2015;176 S.;210 mm;ab 6 J.;";"240";"Von Torjägern und Meisterkickern. Sammelband: Patrick und der Meisterkicker; Paule: Torjäger - Sieben Freunde für ein Tor; Fußballgeschichten"
"Niemelä, Reetta";"Ponyhof Sternenhügel - Ein kleiner Hund zum Liebhaben.";"Baumhaus Medien";"978-3-8339-0373-1";"GEB";"12.99 EUR";"21";"30.0";"";" 2016;40 S.;m. zahlr. farb. Illustr.;235 mm;von 5-7 J.;";"240";""
"Klein, Horst";"Haltet den Die!.";"Klett Kinderbuch Verlag";"978-3-95470-132-2";"GEB";"9.95 EUR";"21";"30.0";"";" 2016;64 S.;15.5 x 20.3 cm;ab 6 J.;";"240";"Das verrückte ABC der geklauten Buchstaben"
"Wieker, Katharina";"Geschichten vom kleinen Bagger Basti.";"Loewe Verlag";"978-3-7855-8184-1";"GEB";"7.95 EUR";"";"31.0";"344 g";" 2016;48 S.;m.  zahlr. farb. Illustr.;245 mm;ab 5 J.;";"240";"1. Lesestufe"
"Boehme, Julia";"Eine Freundin für die kleine Fee.";"Loewe Verlag";"978-3-7855-8270-1";"GEB";"7.95 EUR";"";"31.0";"317 g";" 2016;40 S.;m. farb. Illustr.;24,5 cm;ab 5 J.;";"240";""
"";"Die schönsten Prinzessinnengeschichten zum Lesenlernen.";"Loewe Verlag";"978-3-7855-8383-8";"GEB";"5.00 EUR";"";"30.0";"537 g";" 2016;128 S.;m. farb. Illustr.;24,5 cm;ab 5 J.;";"240";""
"";"Die schönsten Piratengeschichten zum Lesenlernen.";"Loewe Verlag";"978-3-7855-8384-5";"GEB";"5.00 EUR";"";"30.0";"541 g";" 2016;128 S.;m.  zahlr. farb. Illustr.;245 mm;ab 5 J.;";"240";""
"Lagercrantz, Rose";"Wann ist endlich Donnerstag?.";"Moritz";"978-3-89565-319-3";"GEB";"9.95 EUR";"";"30.0";"254 g";" 2016;56 S.;m. zahlr. Illustr.;216 mm;ab 6 J.;";"240";""
"Bertram, Rüdiger";"Coolman und ich - Ran an den Ball!.";"Oetinger";"978-3-7891-2450-1";"GEB";"7.99 EUR";"";"35.0";"281 g";" 2016;64 S.;m. farb. Comics;21 cm;ab 6 J.;";"240";""
"Naoura, Salah";"Theo und der große Hund.";"Oetinger";"978-3-7891-2435-8";"GEB";"7.99 EUR";"";"35.0";"274 g";" 2016;64 S.;m. farb. Illustr.;21 cm;ab 6 J.;";"240";""
"Bertram, Rüdiger";"Jacob, der Superkicker - Ein Stürmer zu viel.";"Oetinger";"978-3-7891-2433-4";"GEB";"7.99 EUR";"";"35.0";"280 g";" 2016;64 S.;m. farb. Illustr.;21 cm;ab 7 J.;";"240";""
"Maar, Paul";"Das Sams und die Wunschmaschine.";"Oetinger";"978-3-7891-2449-5";"GEB";"7.99 EUR";"";"35.0";"279 g";" 2016;64 S.;m. farb. Illustr.;21 cm;ab 7 J.;";"240";""
"Boie, Kirsten";"Abenteuer im Möwenweg - Wir haben endlich Ferien.";"Oetinger";"978-3-7891-2436-5";"GEB";"7.99 EUR";"";"35.0";"282 g";" 2016;64 S.;m. farb. Illustr.;21 cm;ab 7 J.;";"240";""
"Boie, Kirsten";"King-Kong, das Fussballschwein.";"Oetinger";"978-3-7891-2437-2";"GEB";"7.99 EUR";"";"35.0";"272 g";" 2016;64 S.;m. farb. Illustr.;218 mm;ab 8 J.;";"240";""
"Tino";"Seeräubergeschichten.";"Ravensburger Buchverlag";"978-3-473-36475-6";"GEB";"7.99 EUR";"";"35.0";"258 g";" 1. Aufl.;2016;48 S.;m. zahlr. farb. Illustr.;240 mm;Mit Stickern;ab 6 J.;";"240";""
"Lenk, Fabian";"Fußballfieber.";"Ravensburger Buchverlag";"978-3-473-36477-0";"GEB";"7.99 EUR";"";"35.0";"223 g";" 1. Aufl.;2016;48 S.;m. zahlr. farb. Illustr.;215 mm;ab 7 J.;";"240";"Spannende Kickergeschichten"
"Boehme, Julia";"Toko und Mammut und der Säbelzahntiger.";"Ravensburger Buchverlag";"978-3-473-38566-9";"KT";"4.99 EUR";"";"35.0";"151 g";" 1. Aufl.;2016;48 S.;m. zahlr. farb. Illustr.;235 mm;ab 6 J.;";"240";""
"Grolik, Markus";"Ritter Artur und der Drache Pups.";"Ravensburger Buchverlag";"978-3-473-38567-6";"KT";"4.99 EUR";"";"35.0";"150 g";" 1. Aufl.;2016;48 S.;m. zahlr. farb. Illustr.;235 mm;ab 7 J.;";"240";""
"Schneider, Stephanie";"Ein Bär namens Wolle.";"Ravensburger Buchverlag";"978-3-473-36482-4";"GEB";"7.99 EUR";"15";"35.0";"305 g";" 1. Aufl.;2016;64 S.;m. zahlr. farb. Illustr.;240 mm;ab 6 J.;";"240";""
